page_url,image_url,movie_title,description
https://ithinker.ru/film/tajna-7-sester-2017/,https://ithinker.ru/static/images/film/7/thumb/57514.jpg,Тайна 7 сестер (2017),"В мире, где семейным парам разрешено иметь только одного ребенка, рождается семь сестер-близняшек. Родители решают сохранить всех и дают малышкам имена в честь дней недели. Так девочки и появляются на людях — каждая в свой день. Но однажды Понедельник пропадает…"
https://ithinker.ru/film/s-lyubovyu-sajmon-2018/,https://ithinker.ru/static/images/film/7/thumb/58266.jpg,"С любовью, Саймон (2018)","Старшеклассник Саймон скрывает от друзей свою гомосексуальность, но его переписка с анонимным возлюбленным попадает в чужие руки. Школьный «клоун» Мартин угрожает разоблачить Саймона, если тот не поможет ему завязать роман с местной красавицей."
https://ithinker.ru/film/taktika-lyubvi-2022/,https://ithinker.ru/static/images/film/14/thumb/318590.jpg,Тактика любви (2022),Description not found
https://ithinker.ru/film/podchinenie-2016/,https://ithinker.ru/static/images/film/7/thumb/54790.jpg,Подчинение (2016),"Сексуальное пробуждение прекрасной, но неудовлетворенной Эшли наступает в тот момент, когда она находит популярный эротический роман «Рабыня» Нолана Китса. Ее увлечение таинственным автором заводит ее в сексуальный, но опасный любовный треугольник, где все не те, кем кажутся, и где фантазии сходят со страниц книг."
https://ithinker.ru/film/cyplenok-zharenyj-2019/,https://ithinker.ru/static/images/film/9/thumb/280790.jpg,Цыпленок жареный (2019),Description not found
https://ithinker.ru/film/byvshie-2016/,https://ithinker.ru/static/images/film/7/thumb/60750.jpg,Бывшие (2016),Description not found
https://ithinker.ru/film/bankir-2020/,https://ithinker.ru/static/images/film/7/thumb/61816.jpg,Банкир (2020),"История афроамериканских бизнес-партнеров Джо Морриса и Бернарда Гарретта, которые в 1950-х годах основали успешное агентство недвижимости. Они нанимают подставного белого руководителя компании, а сами притворяются простыми дворником и водителем. На вершине успеха над ними нависает угроза разоблачения."
https://ithinker.ru/film/devushka-v-tumane-2017/,https://ithinker.ru/static/images/film/7/thumb/57734.jpg,Девушка в тумане (2017),"Холодной зимней ночью психиатра Аугусто Флореса срочно вызывают на работу, чтобы обследовать попавшего в аварию инспектора Фогеля. Инспектор ничего не помнит, на месте аварии ничто не указывает на ее причину и на ее жертв, однако рубашка Фогеля в пятнах свежей крови, и эта кровь не его. В ходе беседы начинает восстанавливаться цепь невероятных событий, начавшихся месяц назад.Затерянный в Альпах сонный городок, рождественский вечер, туман. 16-летняя девушка Анна Лу, выйдя из дома, до празднично украшенной церкви так и не дошла. Нет ни тела жертвы, ни каких-либо следов борьбы, ни свидетелей — ничего. Вскоре в городе появляется инспектор Фогель, звезда сыска, специалист по поимке маньяков и серийных убийц…"
https://ithinker.ru/film/doroga-2009/,https://ithinker.ru/static/images/film/1/thumb/1427.jpg,Дорога (2009),"На нашей планете произошли ужасные глобальные катаклизмы, следствием которых стало уничтожение цивилизации и почти всех животных и растений. Выжившие люди разделились на людоедов и их жертв. По усыпанном пеплом пути следуют отец и сын, которые ищут тёплые места, где у них бы появился шанс выжить, пытаясь найти еду и избежать людоедов..."
https://ithinker.ru/film/grinch--pokhititel-rozhdestva-2000/,https://ithinker.ru/static/images/film/2/thumb/4338.jpg,Гринч – похититель Рождества (2000),"Жил-был в городе Ктограде человечек, и звали его — Гринч. Был он весь зеленый и волосатый, никто его не любил. Обиделся Гринч на ктовичей и ушел жить на одинокую, обдуваемую всеми ветрами гору. Сидел там в своей пещере и злился на весь свет. Больше всего Гринч ненавидел Рождество. В то время, как все население Ктограда веселилось от души, барометр и без того всегда плохого настроения Гринча показывал нечто ужасное.Каждое Рождество становилось для зеленого отшельника страшной пыткой. И вот однажды злобный житель горы решил покончить с этим праздником раз и навсегда. Пока беззаботные ктовичи сладко спали впредпраздничную ночь, вероломный Гринч решил украсть у горожан их Рождество."
https://ithinker.ru/film/mylodrama-2019/,https://ithinker.ru/static/images/film/7/thumb/59009.jpg,Мылодрама (2019),Description not found
